date,pair,session_date,prev_high,prev_low,close_ny,adr20,atr14,pivot,r1,r2,s1,s2,range_pct
2026-07-29,AUDNZD,2026-07-28,1.21227,1.20445,1.20524,0.00632,0.00618,1.20732,1.21019,1.21514,1.20237,1.1995,123.7
2026-07-29,XAUUSD,2026-07-28,4081.47,4012.45,4028.58,89.26,92.24,4040.83,4069.21,4109.85,4000.2,3971.81,77.3
2026-07-29,USOIL,2026-07-28,82.64,77.13,79.17,4.1,4.96,79.65,82.16,85.16,76.65,74.14,134.4
2026-07-30,USDJPY,2026-07-29,163.911,163.225,163.437,0.707,0.611,163.524,163.824,164.211,163.137,162.838,97
2026-07-30,EURUSD,2026-07-29,1.14705,1.13753,1.1467,0.00522,0.00551,1.14376,1.14999,1.15328,1.14047,1.13424,182.4
2026-07-30,GBPUSD,2026-07-29,1.33872,1.32795,1.33686,0.00764,0.00758,1.33451,1.34107,1.34528,1.3303,1.32374,141
2026-07-30,EURJPY,2026-07-29,187.48,186.19,187.415,0.758,0.782,187.028,187.867,188.318,186.577,185.738,170.2
2026-07-30,AUDUSD,2026-07-29,0.69887,0.69228,0.6955,0.00416,0.00439,0.69555,0.69882,0.70214,0.69223,0.68896,158.4
2026-07-30,EURGBP,2026-07-29,0.85863,0.85552,0.85776,0.00332,0.00316,0.8573,0.85909,0.86041,0.85598,0.85419,93.7
2026-07-30,USDCAD,2026-07-29,1.411,1.40241,1.4048,0.00545,0.00552,1.40607,1.40973,1.41466,1.40114,1.39748,157.6
2026-07-30,USDCHF,2026-07-29,0.82072,0.81331,0.81359,0.0052,0.00507,0.81587,0.81844,0.82328,0.81103,0.80846,142.5
2026-07-30,NZDUSD,2026-07-29,0.58265,0.57626,0.57961,0.00459,0.00461,0.57951,0.58275,0.5859,0.57636,0.57312,139.2
2026-07-30,AUDNZD,2026-07-29,1.20696,1.19799,1.20002,0.00645,0.00639,1.20166,1.20532,1.21063,1.19635,1.19269,139.1
2026-07-30,XAUUSD,2026-07-29,4114.04,3996.32,4066.93,87.34,93.81,4059.1,4121.88,4176.82,4004.16,3941.38,134.8
2026-07-30,USOIL,2026-07-29,85.49,79.03,84.58,4.28,5.06,83.04,87.04,89.5,80.58,76.58,150.9
2026-07-31,USDJPY,2026-07-30,163.741,157.947,159.544,0.901,0.983,160.411,162.874,166.205,157.08,154.617,643.1
2026-07-31,EURUSD,2026-07-30,1.15363,1.1435,1.15276,0.00524,0.00584,1.14996,1.15643,1.16009,1.1463,1.13983,193.3
2026-07-31,GBPUSD,2026-07-30,1.34769,1.33332,1.34637,0.00779,0.00806,1.34246,1.3516,1.35683,1.33723,1.32809,184.5
2026-07-31,EURJPY,2026-07-30,187.475,182.128,183.926,0.963,1.109,184.509,186.891,189.856,181.544,179.163,555.2
2026-07-31,AUDUSD,2026-07-30,0.70335,0.69469,0.70298,0.0043,0.0047,0.70034,0.70599,0.709,0.69733,0.69168,201.4
2026-07-31,EURGBP,2026-07-30,0.8593,0.85552,0.85623,0.00322,0.0032,0.85702,0.85851,0.8608,0.85473,0.85324,117.4
2026-07-31,USDCAD,2026-07-30,1.40678,1.39911,1.40108,0.00548,0.00567,1.40232,1.40554,1.40999,1.39787,1.39465,140
2026-07-31,USDCHF,2026-07-30,0.81749,0.80401,0.80509,0.00545,0.00568,0.80886,0.81372,0.82234,0.80024,0.79538,247.3
2026-07-31,NZDUSD,2026-07-30,0.58837,0.57897,0.58797,0.00482,0.00495,0.5851,0.59124,0.5945,0.58184,0.5757,195
2026-07-31,AUDNZD,2026-07-30,1.20104,1.19406,1.19561,0.00655,0.00641,1.1969,1.19975,1.20388,1.19277,1.18992,106.6
2026-07-31,XAUUSD,2026-07-30,4119.46,4029.17,4103.5,86.18,93.66,4084.04,4138.92,4174.34,4048.62,3993.75,104.8
2026-07-31,USOIL,2026-07-30,85.95,81.74,82.65,4.39,4.99,83.45,85.16,87.66,80.94,79.23,95.9
2026-08-01,USDJPY,2026-07-31,160.892,157.421,157.461,1.029,1.161,158.591,159.762,162.063,156.291,155.12,337.3
2026-08-01,EURUSD,2026-07-31,1.15463,1.14565,1.15304,0.00548,0.00607,1.15111,1.15656,1.16009,1.14758,1.14213,163.9
2026-08-01,GBPUSD,2026-07-31,1.34944,1.34011,1.34804,0.00803,0.00816,1.34586,1.35162,1.35519,1.34229,1.33653,116.2
2026-08-01,EURJPY,2026-07-31,185.2,181.506,181.567,1.12,1.296,182.758,184.009,186.451,180.315,179.064,329.8
2026-08-01,AUDUSD,2026-07-31,0.7044,0.69923,0.7028,0.00437,0.00473,0.70214,0.70506,0.70731,0.69989,0.69697,118.3
2026-08-01,EURGBP,2026-07-31,0.85708,0.85417,0.85548,0.00329,0.00318,0.85558,0.85698,0.85849,0.85407,0.85267,88.4
2026-08-01,USDCAD,2026-07-31,1.40597,1.40036,1.40138,0.00551,0.00567,1.40257,1.40478,1.40818,1.39917,1.39696,101.8
2026-08-01,USDCHF,2026-07-31,0.81286,0.80468,0.80731,0.00567,0.00584,0.80828,0.81189,0.81646,0.80371,0.8001,144.3
2026-08-01,NZDUSD,2026-07-31,0.58957,0.585,0.58882,0.00487,0.0049,0.5878,0.59059,0.59237,0.58602,0.58323,93.8
2026-08-01,AUDNZD,2026-07-31,1.19833,1.19347,1.19362,0.00664,0.00627,1.19514,1.19681,1.2,1.19195,1.19028,73.2
2026-08-01,XAUUSD,2026-07-31,4112.01,4021.07,4045.25,87.01,93.62,4059.44,4097.82,4150.39,4006.88,3968.5,104.5
2026-08-01,USOIL,2026-07-31,86.03,79.96,84.67,4.62,5.07,83.55,87.15,89.62,81.08,77.49,131.4
